datetime	vessel:heincke:trimble:longitude (mean) []	vessel:heincke:trimble:latitude (mean) []	vessel:heincke:saab:longitude (mean) []	vessel:heincke:saab:latitude (mean) []	vessel:heincke:phins:longitude (mean) []	vessel:heincke:saab:latitude (mean) []
2025-07-24T01:06:00.000	8.58102	53.53314	8.58101		8.581	53.53315
2025-07-24T01:16:00.000	8.58102	53.53314	8.58102		8.581	53.53317
2025-07-24T01:26:00.000	8.58102	53.53315	8.58102		8.58101	53.53316
2025-07-24T01:36:00.000	8.58102	53.53315	8.58101		8.58101	53.53314
2025-07-24T01:46:00.000	8.58102	53.53315	8.58101		8.581	53.53314
2025-07-24T01:56:00.000	8.58102	53.53315	8.58101		8.58101	53.53313
2025-07-24T02:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T02:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T02:26:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T02:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T02:46:00.000	8.58102	53.53314	8.581		8.581	53.53315
2025-07-24T02:56:00.000	8.58102	53.53314	8.58099		8.581	53.53315
2025-07-24T03:06:00.000	8.58101	53.53314	8.581		8.581	53.53315
2025-07-24T03:16:00.000	8.58101	53.53314	8.581		8.581	53.53316
2025-07-24T03:26:00.000	8.58101	53.53314	8.581		8.581	53.53315
2025-07-24T03:36:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-24T03:46:00.000	8.58102	53.53313	8.581		8.58101	53.53315
2025-07-24T03:56:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-24T04:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53316
2025-07-24T04:16:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-24T04:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T04:36:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-24T04:46:00.000	8.58101	53.53314	8.581		8.581	53.53314
2025-07-24T04:56:00.000	8.58101	53.53314	8.58101		8.581	53.53315
2025-07-24T05:06:00.000	8.58102	53.53314	8.58101		8.581	53.53314
2025-07-24T05:16:00.000	8.58102	53.53314	8.58102		8.58101	53.53313
2025-07-24T05:26:00.000	8.58102	53.53314	8.581		8.58101	53.53314
2025-07-24T05:36:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T05:46:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T05:56:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T06:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T06:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T06:26:00.000	8.58102	53.53314	8.581		8.58101	53.53314
2025-07-24T06:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T06:46:00.000	8.58102	53.53314	8.581		8.58101	53.53314
2025-07-24T06:56:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T07:06:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T07:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T07:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T07:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T07:46:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T07:56:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T08:06:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T08:16:00.000	8.58102	53.53314	8.58102		8.58101	53.53314
2025-07-24T08:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T08:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T08:46:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T08:56:00.000	8.58102	53.53314	8.58101		8.58101	53.53314
2025-07-24T09:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T09:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T09:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T09:36:00.000	8.58102	53.53314	8.58102		8.58101	53.53315
2025-07-24T09:46:00.000	8.58102	53.53314	8.58102		8.58101	53.53315
2025-07-24T09:56:00.000	8.58102	53.53314	8.58102		8.58101	53.53315
2025-07-24T10:06:00.000	8.58102	53.53314	8.58102		8.58101	53.53315
2025-07-24T10:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53316
2025-07-24T10:26:00.000	8.58102	53.53314	8.581		8.58101	53.53316
2025-07-24T10:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T10:46:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T10:56:00.000	8.58102	53.53314	8.581		8.58101	53.53314
2025-07-24T11:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T11:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-24T11:26:00.000	8.58102	53.53314	8.58102		8.581	53.53315
2025-07-24T11:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
